iter	Passed	Remaining
0	2	215
1	3	193
2	5	168
3	6	158
4	7	143
5	8	133
6	9	127
7	10	125
8	13	131
9	14	133
10	16	135
11	17	127
12	17	120
13	19	119
14	21	122
15	23	124
16	25	126
17	26	121
18	28	121
19	30	122
20	32	120
21	32	116
22	34	116
23	36	114
24	37	113
25	40	113
26	42	113
27	44	113
28	45	112
29	47	110
30	48	107
31	49	106
32	51	105
33	53	103
34	54	101
35	56	100
36	58	99
37	60	97
38	61	96
39	63	95
40	65	94
41	66	91
42	67	89
43	69	88
44	70	86
45	71	84
46	73	82
47	75	81
48	77	80
49	78	78
50	80	77
51	82	76
52	84	74
53	86	73
54	87	71
55	89	69
56	90	68
57	92	67
58	93	65
59	95	63
60	97	62
61	98	60
62	100	59
63	102	57
64	104	56
65	106	54
66	108	53
67	109	51
68	111	50
69	113	48
70	114	46
71	116	45
72	118	43
73	120	42
74	121	40
75	123	38
76	125	37
77	126	35
78	128	34
79	130	32
80	132	31
81	134	29
82	136	27
83	137	26
84	139	24
85	141	22
86	143	21
87	144	19
88	146	18
89	148	16
90	149	14
91	151	13
92	153	11
93	155	9
94	157	8
95	159	6
96	160	4
97	162	3
98	163	1
99	164	0
